year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2021,52,ชัยนาท,9,9,9,9,0,0,"2023-01-16 07:37:07"
2021,52,พิจิตร,6,6,6,6,0,0,"2023-01-16 07:37:07"
2021,52,สมุทรสงคราม,15,15,15,15,0,0,"2023-01-16 07:37:07"
2021,52,แพร่,45,45,45,45,0,0,"2023-01-16 07:37:07"
2021,52,อำนาจเจริญ,63,63,63,63,0,0,"2023-01-16 07:37:07"
2021,52,ชลบุรี,924,924,867,867,0,0,"2023-01-16 07:37:07"
2021,52,บุรีรัมย์,78,78,78,78,0,0,"2023-01-16 07:37:07"
2021,52,อ่างทอง,30,30,30,30,0,0,"2023-01-16 07:37:07"
2021,52,เพชรบูรณ์,60,60,60,60,0,0,"2023-01-16 07:37:07"
2021,52,ขอนแก่น,297,297,297,297,0,0,"2023-01-16 07:37:07"
2021,52,ภูเก็ต,306,306,192,192,0,0,"2023-01-16 07:37:07"
2021,52,ตาก,54,54,48,48,0,0,"2023-01-16 07:37:07"
2021,52,เชียงใหม่,216,216,207,207,0,0,"2023-01-16 07:37:07"
2021,52,ระยอง,177,177,177,177,0,0,"2023-01-16 07:37:07"
2021,52,เชียงราย,60,60,60,60,0,0,"2023-01-16 07:37:07"
2021,52,สุราษฎร์ธานี,129,129,114,114,1,1,"2023-01-16 07:37:07"
2021,52,สงขลา,153,153,153,153,0,0,"2023-01-16 07:37:07"
2021,52,บึงกาฬ,21,21,21,21,0,0,"2023-01-16 07:37:07"
2021,52,ร้อยเอ็ด,150,150,150,150,0,0,"2023-01-16 07:37:07"
2021,52,พิษณุโลก,138,138,138,138,0,0,"2023-01-16 07:37:07"
2021,52,ไม่ระบุ,0,0,0,0,0,0,"2023-01-16 07:37:07"
2021,52,มุกดาหาร,30,30,30,30,0,0,"2023-01-16 07:37:07"
2021,52,สมุทรสาคร,33,33,33,33,0,0,"2023-01-16 07:37:07"
2021,52,นครศรีธรรมราช,483,483,483,483,0,0,"2023-01-16 07:37:07"
2021,52,กาฬสินธุ์,165,165,165,165,0,0,"2023-01-16 07:37:07"
2021,52,มหาสารคาม,243,243,243,243,0,0,"2023-01-16 07:37:07"
2021,52,ตรัง,141,141,141,141,2,2,"2023-01-16 07:37:07"
2021,52,ปราจีนบุรี,51,51,51,51,0,0,"2023-01-16 07:37:07"
2021,52,จันทบุรี,45,45,45,45,0,0,"2023-01-16 07:37:07"
2021,52,อุทัยธานี,6,6,6,6,0,0,"2023-01-16 07:37:07"
2021,52,กรุงเทพมหานคร,1362,1362,1224,1224,1,1,"2023-01-16 07:37:07"
2021,52,นครพนม,21,21,21,21,0,0,"2023-01-16 07:37:07"
2021,52,ระนอง,3,3,3,3,0,0,"2023-01-16 07:37:07"
2021,52,เลย,60,60,60,60,0,0,"2023-01-16 07:37:07"
2021,52,ฉะเชิงเทรา,78,78,78,78,0,0,"2023-01-16 07:37:07"
2021,52,ทั้งประเทศ,9033,9033,8607,8607,10,10,"2023-01-16 07:37:07"
2021,52,ปัตตานี,45,45,45,45,0,0,"2023-01-16 07:37:07"
2021,52,หนองบัวลำภู,9,9,9,9,0,0,"2023-01-16 07:37:07"
2021,52,นราธิวาส,21,21,21,21,0,0,"2023-01-16 07:37:07"
2021,52,สุรินทร์,30,30,30,30,0,0,"2023-01-16 07:37:07"
2021,52,สมุทรปราการ,252,252,228,228,0,0,"2023-01-16 07:37:07"
2021,52,นครสวรรค์,78,78,78,78,1,1,"2023-01-16 07:37:07"
2021,52,กำแพงเพชร,21,21,21,21,0,0,"2023-01-16 07:37:07"
2021,52,สตูล,42,42,42,42,1,1,"2023-01-16 07:37:07"
2021,52,ตราด,12,12,9,9,0,0,"2023-01-16 07:37:07"
2021,52,อุตรดิตถ์,12,12,12,12,0,0,"2023-01-16 07:37:07"
2021,52,สิงห์บุรี,6,6,6,6,0,0,"2023-01-16 07:37:07"
2021,52,นครนายก,42,42,42,42,0,0,"2023-01-16 07:37:07"
2021,52,อุดรธานี,234,234,234,234,0,0,"2023-01-16 07:37:07"
2021,52,พังงา,102,102,72,72,1,1,"2023-01-16 07:37:07"
2021,52,อุบลราชธานี,762,762,762,762,0,0,"2023-01-16 07:37:07"
2021,52,พะเยา,18,18,18,18,0,0,"2023-01-16 07:37:07"
2021,52,สุโขทัย,6,6,6,6,0,0,"2023-01-16 07:37:07"
2021,52,แม่ฮ่องสอน,51,51,51,51,0,0,"2023-01-16 07:37:07"
2021,52,กาญจนบุรี,84,84,81,81,0,0,"2023-01-16 07:37:07"
2021,52,ลำปาง,96,96,93,93,0,0,"2023-01-16 07:37:07"
2021,52,ยโสธร,30,30,30,30,0,0,"2023-01-16 07:37:07"
2021,52,นนทบุรี,126,126,123,123,0,0,"2023-01-16 07:37:07"
2021,52,สกลนคร,21,21,21,21,0,0,"2023-01-16 07:37:07"
2021,52,ลพบุรี,48,48,48,48,0,0,"2023-01-16 07:37:07"
2021,52,ราชบุรี,63,63,63,63,0,0,"2023-01-16 07:37:07"
2021,52,ปทุมธานี,135,135,135,135,0,0,"2023-01-16 07:37:07"
